cellid_cordinate,cell_lon,cell_lat,PCI,cellid_cordinate,cell_lon_RSRP,cell_lat_RSRP,RSRP,cellid_cordinate,cell_lon_SNR,cell_lat_SNR,SNR,cellid_cordinate,cell_lon_RSRQ,cell_lon_RSRQ,RSRQ
45967.92759,-97.33829832,49.88262162,148.0,45967.92759,-97.33829832,49.88262162,-84.84,45967.92759,-97.33829832,49.88262162,21.95,45967.92759,-97.33829832,49.88262162,-11.45
45967.9276,-97.33830238,49.88262108,148.0,45967.9276,-97.33830238,49.88262108,-80.37,45967.9276,-97.33830238,49.88262108,23.83,45967.9276,-97.33830238,49.88262108,-7.92
45967.92762,-97.33830601,49.88262059,148.0,45967.92762,-97.33830601,49.88262059,-81.81,45967.92762,-97.33830601,49.88262059,23.64,45967.92762,-97.33830601,49.88262059,-9.02
45967.92763,-97.33830916,49.88262017,148.0,45967.92763,-97.33830916,49.88262017,-80.21,45967.92763,-97.33830916,49.88262017,22.62,45967.92763,-97.33830916,49.88262017,-11.28
45967.92764,-97.33831409,49.88261951,148.0,45967.92764,-97.33831409,49.88261951,-86.55,45967.92764,-97.33831409,49.88261951,23.64,45967.92764,-97.33831409,49.88261951,-6.88
45967.92765,-97.33831792,49.882619,148.0,45967.92765,-97.33831792,49.882619,-84.28,45967.92765,-97.33831792,49.882619,22.9,45967.92765,-97.33831792,49.882619,-11.28
45967.92766,-97.33831997,49.88261069,148.0,45967.92766,-97.33831997,49.88261069,-82.56,45967.92766,-97.33831997,49.88261069,23.03,45967.92766,-97.33831997,49.88261069,-11.64
45967.92767,-97.33832116,49.88259844,148.0,45967.92767,-97.33832116,49.88259844,-80.61,45967.92767,-97.33832116,49.88259844,23.23,45967.92767,-97.33832116,49.88259844,-10.75
45967.92768,-97.338323,49.88259032,148.0,45967.92768,-97.338323,49.88259032,-85.61,45967.92768,-97.338323,49.88259032,23.59,45967.92768,-97.338323,49.88259032,-8.26
45967.9277,-97.33832654,49.88258821,148.0,45967.9277,-97.33832654,49.88258821,-85.96,45967.9277,-97.33832654,49.88258821,23.31,45967.9277,-97.33832654,49.88258821,-7.57
45967.92771,-97.33832991,49.88258621,148.0,45967.92771,-97.33832991,49.88258621,-85.32,45967.92771,-97.33832991,49.88258621,22.64,45967.92771,-97.33832991,49.88258621,-9.09
45967.92772,-97.33833298,49.88258438,148.0,45967.92772,-97.33833298,49.88258438,-86.4,45967.92772,-97.33833298,49.88258438,23.54,45967.92772,-97.33833298,49.88258438,-7.03
45967.92773,-97.3383364,49.88258235,148.0,45967.92773,-97.3383364,49.88258235,-83.68,45967.92773,-97.3383364,49.88258235,23.6,45967.92773,-97.3383364,49.88258235,-9.7
45967.92774,-97.33834118,49.88258816,148.0,45967.92774,-97.33834118,49.88258816,-82.32,45967.92774,-97.33834118,49.88258816,23.29,45967.92774,-97.33834118,49.88258816,-10.71
45967.92775,-97.33834525,49.88259728,148.0,45967.92775,-97.33834525,49.88259728,-83.34,45967.92775,-97.33834525,49.88259728,23.65,45967.92775,-97.33834525,49.88259728,-7.79
45967.92777,-97.33835196,49.88261217,148.0,45967.92777,-97.33835196,49.88261217,-81.34,45967.92777,-97.33835196,49.88261217,23.01,45967.92777,-97.33835196,49.88261217,-10.62
45967.92778,-97.33835362,49.88261439,148.0,45967.92778,-97.33835362,49.88261439,-81.17,45967.92778,-97.33835362,49.88261439,23.15,45967.92778,-97.33835362,49.88261439,-8.26
45967.92779,-97.33835522,49.88261653,148.0,45967.92779,-97.33835522,49.88261653,-84.55,45967.92779,-97.33835522,49.88261653,24.66,45967.92779,-97.33835522,49.88261653,-7.38
45967.9278,-97.3383569,49.88261878,148.0,45967.9278,-97.3383569,49.88261878,-83.58,45967.9278,-97.3383569,49.88261878,22.73,45967.9278,-97.3383569,49.88261878,-8.62
45967.92781,-97.33835859,49.88262105,148.0,45967.92781,-97.33835859,49.88262105,-86.53,45967.92781,-97.33835859,49.88262105,22.23,45967.92781,-97.33835859,49.88262105,-7.75
45967.92782,-97.33837214,49.88261806,148.0,45967.92782,-97.33837214,49.88261806,-82.67,45967.92782,-97.33837214,49.88261806,22.34,45967.92782,-97.33837214,49.88261806,-12.8
45967.92784,-97.3383846,49.88261532,148.0,45967.92784,-97.3383846,49.88261532,-85.49,45967.92784,-97.3383846,49.88261532,22.53,45967.92784,-97.3383846,49.88261532,-7.9
45967.92785,-97.33839161,49.88262124,148.0,45967.92785,-97.33839161,49.88262124,-88.63,45967.92785,-97.33839161,49.88262124,21.19,45967.92785,-97.33839161,49.88262124,-9.43
45967.92786,-97.33839658,49.88262919,148.0,45967.92786,-97.33839658,49.88262919,-84.42,45967.92786,-97.33839658,49.88262919,22.02,45967.92786,-97.33839658,49.88262919,-10.04
45967.92787,-97.3384015,49.88263704,148.0,45967.92787,-97.3384015,49.88263704,-84.18,45967.92787,-97.3384015,49.88263704,22.84,45967.92787,-97.3384015,49.88263704,-9.87
45967.92788,-97.33840355,49.88264062,148.0,45967.92788,-97.33840355,49.88264062,-84.29,45967.92788,-97.33840355,49.88264062,21.48,45967.92788,-97.33840355,49.88264062,-10.46
45967.92789,-97.33840419,49.88264262,148.0,45967.92789,-97.33840419,49.88264262,-83.25,45967.92789,-97.33840419,49.88264262,23.78,45967.92789,-97.33840419,49.88264262,-8.1
45967.9279,-97.33840474,49.88264433,148.0,45967.9279,-97.33840474,49.88264433,-85.22,45967.9279,-97.33840474,49.88264433,22.49,45967.9279,-97.33840474,49.88264433,-7.11
45967.92792,-97.33840526,49.88264594,148.0,45967.92792,-97.33840526,49.88264594,-86.86,45967.92792,-97.33840526,49.88264594,22.96,45967.92792,-97.33840526,49.88264594,-8.08
